psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.25173,-398027,-0.79478,398027,0.79478,118.8452,0.00023731
3,0.47936,-361397,-0.72164,361397,0.72164,118.7336,0.00023709
4,0.74558,-370254,-0.73933,370254,0.73933,118.8566,0.00023733
5,0.98507,-381449,-0.76168,381449,0.76168,118.914,0.00023745
6,1.1498,-391854,-0.78246,391854,0.78246,118.9545,0.00023753
7,1.1756,-401421,-0.80156,401421,0.80156,118.9023,0.00023742
8,1.2489,-346519,-0.69193,346519,0.69193,118.8269,0.00023727
9,1.3706,-265678,-0.53051,265678,0.53051,118.6238,0.00023687
10,1.2956,-249530,-0.49826,249530,0.49826,118.5915,0.0002368
11,1.2886,-250233,-0.49967,250233,0.49967,118.566,0.00023675
12,1.2959,-249866,-0.49893,249866,0.49893,118.5161,0.00023665
13,1.1615,-240723,-0.48068,240723,0.48068,118.4155,0.00023645
14,1.0039,-227851,-0.45497,227851,0.45497,118.2326,0.00023609
15,1.1304,-237994,-0.47523,237994,0.47523,118.25,0.00023612
16,1.1425,-236623,-0.47249,236623,0.47249,118.2226,0.00023607
17,1.0937,-234687,-0.46862,234687,0.46862,118.1851,0.00023599
18,1.0829,-232323,-0.4639,232323,0.4639,118.1497,0.00023592
19,1.1234,-232694,-0.46464,232694,0.46464,118.1426,0.00023591
20,1.1272,-229631,-0.45853,229631,0.45853,118.1345,0.00023589
21,1.1382,-234952,-0.46915,234952,0.46915,118.0971,0.00023582
22,1.1755,-238257,-0.47575,238257,0.47575,118.0509,0.00023572
23,1.2252,-243179,-0.48558,243179,0.48558,118.0093,0.00023564
24,1.259,-244340,-0.4879,244340,0.4879,117.9847,0.00023559
25,1.3316,-249115,-0.49743,249115,0.49743,117.9853,0.00023559
26,1.3632,-248407,-0.49602,248407,0.49602,118.0137,0.00023565
27,1.4542,-254629,-0.50844,254629,0.50844,117.9879,0.0002356
28,1.4209,-245708,-0.49063,245708,0.49063,117.97,0.00023556
29,1.5038,-247057,-0.49332,247057,0.49332,117.9843,0.00023559
30,1.634,-236439,-0.47212,236439,0.47212,118.0455,0.00023571
